text;label
"HƯỚNG DẪN  
chuyển sang học một chương trình, một ngành đào tạo khác đối với sinh viên từ khóa 47 trở về sau của trường đại học cần thơ";__label__Dao_tao
đối tượng áp dụng hướng dẫn này được áp dụng đối với sinh viên hệ chính quy từ khóa 47 tuyển sinh năm 2021 trở về sau đang theo học tại trường ĐHCT (đại học cần thơ) có nguyện vọng chuyển sang học một chương trình,;__label__Dao_tao
một chương trình, một ngành đào tạo khác do trường ĐHCT (đại học cần thơ) tổ chức đào tạo.;__label__Dao_tao
điều kiện xét chuyển sang học một chương trình, một ngành đào tạo khác căn cứ quy chế đào tạo hiện hành, sinh viên từ khóa 47 trở về sau được xem xét chuyển sang học một chương trình, một ngành đào tạo khác khi có đủ các điều kiện sau:;__label__Dao_tao
sinh viên không đang là sinh viên trình độ năm thứ nhất hoặc năm cuối khóa, cụ thể: khối lượng tín chỉ tích lũy được của chương trình đào tạo CTĐT (chương trình đào tạo) mà sinh viên đang theo học;__label__Dao_tao
viên đang theo học đạt từ 36 tín chỉ đến 105 tín chỉ đối với CTĐT (chương trình đào tạo) có thời gian thiết kế là 4 năm từ 36 tín chỉ đến 124 tín chỉ đối với CTĐT (chương trình đào tạo) có thời gian;__label__Dao_tao
tạo) có thời gian thiết kế là 4,5 năm từ 36 tín chỉ đến 142 tín chỉ đối với CTĐT (chương trình đào tạo) có thời gian thiết kế là 5 năm.;__label__Dao_tao
sinh viên không thuộc diện bị xem xét buộc thôi học. sinh viên còn đủ thời gian học tập theo quy định công tác học vụ của trường. thời gian học tập tối đa còn lại để sinh viên hoàn thành CTĐT (chương trình đào tạo) khi được chuyển sang học CTĐT (chương;__label__Dao_tao
học CTĐT (chương trình đào tạo) khác là thời gian học tập tối đa của CTĐT (chương trình đào tạo) được chuyển sang học trừ đi thời gian đã theo học các CTĐT (chương trình đào tạo) trước khi chuyển;__label__Dao_tao
trước khi chuyển sang CTĐT (chương trình đào tạo) khác. ví dụ: sinh viên đã học xong năm thứ 3 của CTĐT (chương trình đào tạo) có thời gian thiết kế là 4,5 năm, khi được chuyển sang học CTĐT (chương;__label__Dao_tao
học CTĐT (chương trình đào tạo) có thời gian thiết kế là 4 năm thì thời gian học tập tối đa còn lại là 5 năm.;__label__Dao_tao
