text,
"QUYẾT ĐỊNH ban hành quy định công tác học vụ dành cho sinh viên trình độ đại học hình thức chính quy  QUYẾT ĐỊNH điều 1. ban hành kèm theo quyết định này quy định công tác học vụ dành cho sinh viên trình độ đại học hình thức chính quy của trường đại học cần thơ. điều 2. quyết định này có hiệu lực thi hành từ học kỳ 2, năm học 2024 - 2025. quyết định này thay thế quyết định số 1813/QĐ-ĐHCT ngày 18 tháng 6 năm 2021 của hiệu trưởng trường đại học cần thơ ban hành quy định công tác học vụ dành cho sinh viên trình độ đại học hệ chính quy. QUY ĐỊNH công tác học vụ dành cho sinh viên trình độ đại học hình thức chính quy  chương I  NHỮNG VẤN ĐỀ CHUNG  điều 1. phạm vi điều chỉnh và đối tượng áp dụng 1. quy định này quy định về công tác học vụ dành cho sinh viên SV trình độ đại học hình thức chính quy bao gồm chương trình đào tạo CTĐT, thời gian học tập, tổ chức đào tạo, đánh giá kết quả học tập, cấp bằng tốt nghiệp và những quy định khác. 2. quy định này áp dụng đối với SV các ngành, khóa đào tạo trình độ đại học hình thức chính quy của trường đại học cần thơ ĐHCT. điều 2. sinh viên sinh viên hình thức chính quy của trường ĐHCT là những người đã trúng tuyển kỳ thi tuyển sinh hoặc được xét tuyển và có quyết định thu nhận vào học hình thức chính quy của trường. mỗi SV sẽ được cấp một mã số SV, thẻ SV, tài khoản máy tính và địa chỉ thư điện tử email để sử dụng trong suốt quá trình theo học tại trường. sinh viên trường ĐHCT phải chấp hành nội quy, quy định của trường, của trường chuyên ngành, khoa và viện thuộc trường ĐHCT sau đây gọi chung là đơn vị đào tạo, của lớp và của các đơn vị khác trong trường ĐHCT. khi vào trường, SV phải mang bảng tên, trang phục sạch sẽ, gọn gàng, kín đáo phải mặc đồng phục SV khi tham dự những học phần có yêu cầu. sinh viên phải giữ trật tự, vệ sinh, chấp hành luật giao thông, để xe đúng nơi quy định. sinh viên trường ĐHCT phải có nếp sống văn minh có ý thức bảo vệ của công, bảo vệ môi trường không làm ồn, gây mất trật tự không tụ tập sử dụng đồ uống có cồn và các loại chất kích thích bị cấm.",__label__Khac
" điều 3. chương trình đào tạo, bản mô tả chương trình đào tạo và chương trình dạy học chương trình đào tạo của mỗi ngành học được xây dựng theo đơn vị tín chỉ TC, cấu trúc từ các học phần thuộc khối kiến thức giáo dục đại cương và giáo dục chuyên nghiệp, trong đó có đủ các học phần bắt buộc và đáp ứng chuẩn CTĐT theo quy định hiện hành của bộ giáo dục và đào tạo. sinh viên phải tích lũy đủ các học phần và khối lượng TC tối thiểu theo yêu cầu của CTĐT để được xét cấp bằng tốt nghiệp. bản mô tả chương trình đào tạo và chương trình dạy học được xây dựng căn cứ vào CTĐT, gồm các nội dung thông tin chung về CTĐT thông tin về đối sánh giữa CTĐT với các chương trình tương tự trong và ngoài nước thông tin về kết quả đánh giá hoặc kiểm định chất lượng CTĐT mục tiêu đào tạo của CTĐT chuẩn đầu ra của CTĐT ma trận tương thích giữa mục tiêu đào tạo và chuẩn đầu ra của CTĐT ma trận tương thích giữa các học phần trong chương trình dạy học và chuẩn đầu ra của CTĐT tiêu chí tuyển sinh vị trí việc làm cấu trúc chương trình dạy học khung CTĐT trong CTĐT với các học phần được bố trí theo khối kiến thức kế hoạch dạy học là CTĐT với các học phần được bố trí theo học kỳ trong thời gian thiết kế của CTĐT, sau đây gọi là kế hoạch học tập chuẩn toàn khóa tóm tắt các học phần đính kèm đề cương chi tiết các học phần phương pháp giảng dạy và học tập phương pháp đánh giá. một số học phần thuộc CTĐT có thể được tổ chức lớp học bằng phương thức dạy và học trực tuyến một phần hoặc toàn bộ học phần khi đáp ứng các quy định hiện hành. những nội dung dạy và học trực tuyến được ghi trong đề cương chi tiết học phần. tổng khối lượng tính theo TC được thực hiện bằng phương thức dạy và học trực tuyến không quá 30% khối lượng của CTĐT. trong trường hợp thiên tai, dịch bệnh phức tạp và các trường hợp bất khả kháng khác, trường ĐHCT có thể thực hiện việc dạy và học bằng phương thức trực tuyến theo yêu cầu và hướng dẫn của nhà nước. chương trình đào tạo, bản mô tả chương trình đào tạo và chương trình dạy học được công khai tại trang thông tin điện tử của trường và đơn vị đào tạo để SV và các bên liên quan được biết. điều 4. kế hoạch học tập căn cứ kế hoạch học tập chuẩn toàn khóa và hướng dẫn của cố vấn học tập CVHT, SV phải xây dựng kế hoạch học tập toàn khóa KHHTTK bằng cách liệt kê các học phần phải học cho từng học kỳ HK của khóa học. KHHTTK phải được CVHT phê duyệt. KHHTTK là cơ sở để SV đăng ký học phần trong mỗi HK. sinh viên có thể thay đổi KHHTTK trong quá trình học nhưng phải có ý kiến của CVHT. điều 5. thời gian học tập kế hoạch học tập chuẩn toàn khóa có thời gian thiết kế cho một CTĐT tùy theo ngành học. thời gian học tập tối đa cho phép để SV hoàn thành CTĐT được xác định theo bảng dưới đây  thời gian thiết kế của CTĐT  thời gian học tập tối đa để SV hoàn thành CTĐT  ----------------------------------------------------------------------------  4 năm  6 năm   4,5 năm  9 năm   5 năm  10 năm  những SV học liên thông người có bằng tốt nghiệp trình độ cao đẳng hình thức chính quy trở lên người đã có bằng tốt nghiệp trình độ đại học trở lên và những SV có kết quả học tập đã tích lũy từ một ngành đào tạo hoặc một CTĐT khác, một khóa học khác hoặc từ một cơ sở đào tạo khác được xem xét công nhận, chuyển đổi sang TC của những học phần trong CTĐT theo quy định xét miễn và công nhận điểm học phần trong CTĐT trình độ đại học hình thức chính quy của trường ĐHCT. đối với SV tuyển sinh đào tạo từ năm học 2021  2022 khóa 47 trở về sau, khối lượng TC tối đa được công nhận, chuyển đổi không vượt quá 50% khối lượng học tập tối thiểu của CTĐT và thời gian tối đa để những SV này hoàn thành khóa học được xác định trên cơ sở thời gian theo kế hoạch học tập chuẩn toàn khóa giảm tương ứng với khối lượng TC được miễn trừ, cụ thể là mỗi 9 TC đối với khóa 49 trở về trước và 6 TC đối với khóa 50 trở về sau được công nhận và chuyển đổi thì thời gian học tập tối đa để SV hoàn thành CTĐT giảm tương ứng là 1 HK. ví dụ được công nhận và chuyển đổi ít hơn 9 TC đối với khóa 49 trở về trước và ít hơn 6 TC đối với khóa 50 trở về sau thì không giảm thời gian học tập tối đa từ 9 TC đến 17 TC đối với khóa 49 trở về trước và từ 6 TC đến 11 TC đối với khóa 50 trở về sau thì thời gian học tập tối đa giảm 1 HK từ 18 TC đến 26 TC đối với khóa 49 trở về trước và từ 12 TC đến 17 TC đối với khóa 50 trở về sau thì thời gian học tập tối đa giảm 2 HK,... ",__label__Dao_tao
"điều 6. học kỳ 1. mỗi năm học được tổ chức thành 03 HK gọi là học kỳ 1, học kỳ 2 và học kỳ 3. 2. mỗi HK kéo dài 15 tuần, trong đó gồm có 11 tuần dạy và học, 01 tuần dự trữ và tổ chức thi những học phần thi riêng, 01 tuần tổ chức thi những học phần thi riêng còn lại, 02 tuần tổ chức thi những học phần thi chung và xử lý kết quả đánh giá học phần. 3. học kỳ 1 bắt đầu từ tuần thứ 37 đến tuần thứ 51 của năm học kỳ 2 bắt đầu từ tuần thứ 01 đến tuần thứ 17 của năm bao gồm 2 tuần nghỉ tết nguyên đán học kỳ 3 bắt đầu từ tuần thứ 20 đến tuần thứ 34 của năm. tuần nghỉ giữa các HK là tuần thứ 18, 19, 35, 36, 52 và tuần thứ 53 nếu có của năm.",__label__Dao_tao
"điều 7. học phần, lớp học phần và lớp chuyên ngành 1. học phần là lượng kiến thức tương đối trọn vẹn được dạy trong 1 HK. mỗi học phần có tên riêng và được ký hiệu bằng một mã số. 2. học phần bắt buộc là học phần SV phải tích lũy. 3. học phần tự chọn là học phần SV tự lựa chọn để tích lũy. 4. học phần tiên quyết của học phần hpxxx là học phần mà SV phải tích lũy mới được đăng ký học học phần hpxxx. 5. học phần song hành của học phần hpxxx là học phần mà SV phải học trước hoặc học cùng lúc với học phần hpxxx. 6. học phần điều kiện bao gồm các học phần giáo dục quốc phòng và an ninh GDQPAN, giáo dục thể chất GDTC, ngoại ngữ căn bản, tin học căn bản là học phần mà SV phải hoàn thành nhưng kết quả học phần không dùng để tính điểm trung bình chung tích lũy ĐTBCTL ngoài ra, điểm học phần GDTC không dùng để tính điểm trung bình chung học kỳ ĐTBCHK và điểm trung bình chung năm học ĐTBCNH. 7. lớp học phần được dạy và học trực tiếp hoặc trực tuyến là lớp bao gồm những SV đăng ký học cùng thời khóa biểu TKB của một học phần trong HK. trong một HK, mỗi học phần có thể có nhiều lớp học phần có TKB với mã số khác nhau và có giảng viên phụ trách. 8. lớp chuyên ngành là lớp được hình thành từ đầu khóa học cho đến cuối khóa học. tổ chức lớp chuyên ngành để duy trì những sinh hoạt đoàn thể, lao động, xét kết quả rèn luyện, xét khen thưởng, phổ biến những thông tin của trường, đơn vị đào tạo đến SV. mỗi lớp chuyên ngành có mã số riêng và được bố trí một CVHT để tư vấn và hỗ trợ SV.",__label__Dao_tao
"điều 8. khối lượng học tập, tín chỉ và giờ giảng dạy 1. khối lượng học tập của mỗi CTĐT hoặc của mỗi học phần trong CTĐT được xác định bằng số TC. khối lượng học tập tối thiểu của một CTĐT phải phù hợp với yêu cầu của khung trình độ quốc gia việt nam. a một 01 TC được tính tương đương 50 giờ học tập định mức của SV, bao gồm cả thời gian dự giờ giảng, giờ học có hướng dẫn, tự học, nghiên cứu, trải nghiệm và dự kiểm tra, đánh giá. b đối với hoạt động dạy học trên lớp, một TC yêu cầu thực hiện tối thiểu 15 giờ giảng trên lớp và 30 giờ tự học, chuẩn bị cá nhân có hướng dẫn hoặc 30 giờ thực hành, thí nghiệm, thao luận và 15 giờ tự học, chuẩn bị cá nhân có hướng dẫn. ngoài ra, một TC yêu cầu thực hiện tối thiểu 45 giờ cho các hoạt động thực tập tại cơ sở, làm tiểu luận, bài tập lớn, đồ án, niên luận, tiểu luận tốt nghiệp, luận văn tốt nghiệp. 2. một giờ giảng trên lớp sau đây gọi là tiết được tính bằng 50 phút. ",__label__Dao_tao
"điều 9. học bổng và trợ cấp xã hội 1. học bổng khuyến khích học tập a học bổng khuyến khích học tập HBKKHT được xét cấp theo HK dựa trên cơ sở ĐTBCHK xem điều 24 và điểm rèn luyện ĐRL - xem điều 25 của HK trước đó. học bổng được cấp cho SV từ cao xuống thấp theo mức học bổng xem điểm d khoản 1 điều 9 này, trong từng mức ưu tiên theo ĐTBCHK trường hợp SV có cùng ĐTBCHK thì xét ưu tiên theo ĐRL. riêng đối với HK đầu tiên của khóa học, học bổng được cấp dựa trên kết quả xét tuyển đầu vào do hiệu trưởng trường ĐHCT sau đây gọi tắt là hiệu trưởng quyết định không bao gồm điểm ưu tiên. b quỹ học bổng cấp cho SV từng lớp chuyên ngành được công bố từ đầu khóa học và sẽ được điều chỉnh nếu nguồn quỹ học bổng của trường ĐHCT có thay đổi. c điều kiện để được xét học bổng - có số TC đăng ký tối thiểu trong HK trước đó là 12 TC trừ trường hợp do trường bố trí - HK trước đó, SV có kết quả học tập, rèn luyện đạt từ loại khá trở lên, trong đó không có học phần dưới điểm D xem điều 22 - không bị kỷ luật từ hình thức khiển trách cấp trường trở lên. d tiêu chuẩn cho từng mức học bổng được xác định như sau - mức học bổng loại xuất sắc ĐTBCHK và ĐRL đạt loại xuất sắc. - mức học bổng loại giỏi ĐTBCHK đạt từ loại giỏi và ĐRL đạt từ loại tốt trở lên. - mức học bổng loại khá ĐTBCHK và ĐRL đạt từ loại khá trở lên. e học bổng cho SV đi học tập ở nước ngoài SV được cấp HBKKHT còn được xét cấp học bổng để đi học nước ngoài theo quy định hiện hành của hiệu trưởng. f mức học bổng do hiệu trưởng quyết định. 2. học bổng tài trợ hàng năm, trường xét cấp học bổng tài trợ từ nguồn tài trợ của các cơ quan, doanh nghiệp, tổ chức, cá nhân... trong và ngoài nước theo quy định về quản lý và cấp phát học bổng tài trợ.",__label__Khen_thuong_ky_luat
"3. quỹ hỗ trợ SV khi gặp khó khăn đột xuất về kinh tế, SV có thể làm đơn trình bày rõ hoàn cảnh khó khăn, có xác nhận của CVHT và trưởng đơn vị đào tạo để hiệu trưởng xem xét. 4. trợ cấp xã hội đối tượng được hưởng trợ cấp xã hội là SV dân tộc ít người ở vùng cao SV mồ côi cả cha lẫn mẹ SV tàn tật trên 41% SV thuộc hộ nghèo theo quy định. điều 10. học phí, miễn, giảm học phí và hỗ trợ chi phí học tập 1. học phí đóng theo HK và tính theo tổng số TC mà SV đã đăng ký học ở HK đó. mức học phí do hiệu trưởng quyết định. 2. đối tượng được miễn, giảm học phí và được hỗ trợ chi phí học tập thực hiện theo các quy định hiện hành và các văn bản hướng dẫn có liên quan. hồ sơ hướng dẫn thực hiện miễn, giảm học phí và hỗ trợ chi phí học tập được công khai tại trang thông tin điện tử của phòng công tác sinh viên. sau thời hạn đóng học phí, SV không đóng học phí sẽ bị hủy kết quả học tập những học phần nợ học phí trong HK đó và buộc phải đóng học phí còn nợ cùng lúc với học phí của HK tiếp theo. sinh viên không đóng học phí 2 HK liên tiếp sẽ bị buộc thôi học. điều 11. bảo hiểm y tế, bảo hiểm tai nạn và tín dụng sinh viên 1. bảo hiểm y tế SV phải nộp phí bảo hiểm y tế theo các quy định hiện hành của pháp luật và các văn bản hướng dẫn có liên quan. 2. bảo hiểm tai nạn trường khuyến khích SV tham gia bảo hiểm tai nạn. 3. tín dụng SV SV có thể đề nghị vay tín dụng từ các ngân hàng chính sách xã hội tại địa phương nơi gia đình SV cư trú. trường ĐHCT sẽ cấp giấy xác nhận để SV bổ sung hồ sơ vay vốn nếu SV có yêu cầu. ",__label__Khac
"điều 12. chuyển cơ sở đào tạo, chuyển ngành, chuyển hình thức học, trao đổi sinh viên và hợp tác trong đào tạo 1. sinh viên được xem xét chuyển cơ sở đào tạo khi có đủ các điều kiện sau a không đang là SV trình độ năm thứ nhất hoặc năm cuối khóa, không thuộc diện bị xem xét buộc thôi học và còn đủ thời gian học tập theo quy định tại điều 5 của quy định này. b sinh viên đạt điều kiện trúng tuyển của chương trình, ngành đào tạo cùng khóa tuyển sinh tại nơi chuyển đến. c nơi chuyển đến có đủ các điều kiện đảm bảo chất lượng, chưa vượt quá năng lực đào tạo đối với chương trình, ngành đào tạo đó theo quy định hiện hành của bộ giáo dục và đào tạo. d được sự đồng ý của hiệu trưởng cơ sở đào tạo xin chuyển đi và hiệu trưởng cơ sở đào tạo xin chuyển đến. 2. sinh viên từ khóa 47 trở về sau được xem xét chuyển sang học một chương trình, một ngành đào tạo khác khi có đủ các điều kiện sau a không đang là SV trình độ năm thứ nhất hoặc năm cuối khóa, không thuộc diện bị xem xét buộc thôi học và còn đủ thời gian học tập theo quy định tại điều 5 của quy định này. b sinh viên đạt điều kiện trúng tuyển của chương trình, ngành đào tạo trong cùng khóa tuyển sinh. c chương trình, ngành đào tạo đáp ứng đủ các điều kiện đảm bảo chất lượng, chưa vượt quá năng lực đào tạo theo quy định hiện hành của bộ giáo dục và đào tạo. d được sự đồng ý của trưởng đơn vị đào tạo phụ trách chương trình, ngành đào tạo và của hiệu trưởng. 3. sinh viên được xem xét chuyển từ đào tạo theo hình thức chính quy sang hình thức vừa làm vừa học hoặc hình thức đào tạo từ xa của trường nếu còn đủ thời gian học tập theo quy định đối với hình thức chuyển đến và được sự đồng ý của hiệu trưởng. 4. trao đổi SV và hợp tác trong đào tạo a trong hợp tác đào tạo giữa trường và cơ sở đào tạo khác, nếu được hiệu trưởng của hai cơ sở đào tạo đồng ý, SV có thể đăng ký thực hiện học một số học phần tại cơ sở đào tạo khác. b số lượng TC mà SV tích lũy tại cơ sở đào tạo khác nếu có không vượt quá 25% tổng khối lượng của CTĐT. sinh viên chuyển cơ sở đào tạo, chuyển chương trình, ngành đào tạo hoặc chuyển hình thức học SV trao đổi và hợp tác trong đào tạo được xem xét công nhận kết quả học tập hoặc chuyển đổi TC đã tích lũy theo quy định hiện hành của trường.",__label__Dao_tao
" chương II  TỔ CHỨC ĐÀO TẠO  điều 13. trách nhiệm của trường đại học cần thơ và sinh viên trong việc đăng ký học phần 1. trách nhiệm của trường ĐHCT a đầu khóa học, trường cung cấp cho SV kế hoạch học tập chuẩn toàn khóa của ngành học, quy định về công tác học vụ và bố trí CVHT cho từng lớp chuyên ngành. b viên chức phụ trách công tác CVHT chịu trách nhiệm quản lý SV căn cứ kế hoạch học tập chuẩn toàn khóa, tư vấn SV xây dựng KHHTTK và thực hiện quá trình học tập theo đúng quy định của trường. c đầu mỗi HK, trường thông báo cho SV những học phần sẽ giảng dạy trong HK đó và TKB của từng học phần tương ứng. 2. trách nhiệm của SV SV phải thực hiện đăng ký học phần trước khi HK mới bắt đầu SV mới trúng tuyển không phải đăng ký học phần cho HK đầu tiên của khóa học. các học phần đăng ký phải theo KHHTTK xem điều 4. điều 14. số tín chỉ đăng ký trong một học kỳ để đảm bảo tiến độ thời gian hoàn thành khóa học và chất lượng học tập, mỗi HK SV được đăng ký với số lượng TC như sau 1. sinh viên được đăng ký học tối đa 20 TC/HK. 2. đối với HK đầu tiên, SV không phải đăng ký học phần. các học phần của HK này sẽ do trường ĐHCT bố trí. tùy theo năng lực học tập và điều kiện cá nhân, SV nên đăng ký học với số TC phù hợp để đạt kết quả học tập tốt.",__label__Dao_tao
"điều 15. quy trình đăng ký học phần sinh viên dựa vào KHHTTK và TKB các học phần giảng dạy trong HK do trường ĐHCT công bố để đăng ký học phần tại hệ thống quản lý trực tuyến theo kế hoạch chung. sau tuần lễ thứ 2 của HK, SV vào hệ thống quản lý trực tuyến để in kết quả đăng ký học phần. lưu ý - danh mục các lớp học phần dự kiến mở trong HK được công bố tại trang thông tin điện tử của trường ĐHCT chậm nhất 6 tuần trước khi bắt đầu HK. - danh mục các lớp học phần không đủ điều kiện tổ chức giảng dạy sẽ được công bố tại trang thông tin điện tử của trường ĐHCT 1 tuần trước khi bắt đầu. - trong 1 tuần đầu của HK, SV có thể xóa những học phần đã đăng ký hoặc đăng ký bổ sung những học phần mới trừ các học phần thực hành, thí nghiệm, thực tập tại cơ sở, GDQPAN, GDTC thay cho các học phần mà trường ĐHCT không thể mở được. sau thời gian trên, kết quả đăng ký học phần của SV sẽ được cố định. - chậm nhất là tuần lễ thứ 6 của HK nếu thấy việc học khó khăn có thể dẫn đến kết quả kém, SV có thể rút bớt học phần đã đăng ký nhưng không được trả lại học phí. muốn rút bớt học phần, SV vào hệ thống quản lý trực tuyến của trường ĐHCT để thực hiện. những học phần đã rút sẽ nhận điểm W trong bảng điểm của HK đó. - sinh viên đã đăng ký học phần nhưng không đi học hoặc không dự thi kết thúc học phần sẽ nhận điểm F của học phần đó.",__label__Dao_tao
